/home/rohit21122012/dcase2016/local/lib/python2.7/site-packages/librosa/core/audio.py:33: UserWarning: Could not import scikits.samplerate. Falling back to scipy.signal
  warnings.warn('Could not import scikits.samplerate. '
/home/rohit21122012/dcase2016/local/lib/python2.7/site-packages/matplotlib/font_manager.py:273: UserWarning: Matplotlib is building the font cache using fc-list. This may take a moment.
  warnings.warn('Matplotlib is building the font cache using fc-list. This may take a moment.')
[01:20:12] src/tree/updater_prune.cc:74: tree pruning end, 1 roots, 1722 extra nodes, 0 pruned nodes, max_depth=25
[01:20:30] src/tree/updater_prune.cc:74: tree pruning end, 1 roots, 2118 extra nodes, 0 pruned nodes, max_depth=26
[01:20:49] src/tree/updater_prune.cc:74: tree pruning end, 1 roots, 1570 extra nodes, 0 pruned nodes, max_depth=30
[01:21:19] src/tree/updater_prune.cc:74: tree pruning end, 1 roots, 3310 extra nodes, 0 pruned nodes, max_depth=38
[01:21:37] src/tree/updater_prune.cc:74: tree pruning end, 1 roots, 1954 extra nodes, 0 pruned nodes, max_depth=21
[01:22:01] src/tree/updater_prune.cc:74: tree pruning end, 1 roots, 2928 extra nodes, 0 pruned nodes, max_depth=27
[01:22:35] src/tree/updater_prune.cc:74: tree pruning end, 1 roots, 4350 extra nodes, 0 pruned nodes, max_depth=42
[01:23:02] src/tree/updater_prune.cc:74: tree pruning end, 1 roots, 3890 extra nodes, 0 pruned nodes, max_depth=29
[01:23:28] src/tree/updater_prune.cc:74: tree pruning end, 1 roots, 3422 extra nodes, 0 pruned nodes, max_depth=31
[01:23:53] src/tree/updater_prune.cc:74: tree pruning end, 1 roots, 3670 extra nodes, 0 pruned nodes, max_depth=29
[01:24:15] src/tree/updater_prune.cc:74: tree pruning end, 1 roots, 1856 extra nodes, 0 pruned nodes, max_depth=31
[01:24:36] src/tree/updater_prune.cc:74: tree pruning end, 1 roots, 2018 extra nodes, 0 pruned nodes, max_depth=32
[01:24:56] src/tree/updater_prune.cc:74: tree pruning end, 1 roots, 1700 extra nodes, 0 pruned nodes, max_depth=30
[01:25:26] src/tree/updater_prune.cc:74: tree pruning end, 1 roots, 3668 extra nodes, 0 pruned nodes, max_depth=34
[01:25:49] src/tree/updater_prune.cc:74: tree pruning end, 1 roots, 2132 extra nodes, 0 pruned nodes, max_depth=30
[01:26:22] src/tree/updater_prune.cc:74: tree pruning end, 1 roots, 3104 extra nodes, 0 pruned nodes, max_depth=40
[01:27:05] src/tree/updater_prune.cc:74: tree pruning end, 1 roots, 4552 extra nodes, 0 pruned nodes, max_depth=39
[01:27:48] src/tree/updater_prune.cc:74: tree pruning end, 1 roots, 4260 extra nodes, 0 pruned nodes, max_depth=38
[01:28:25] src/tree/updater_prune.cc:74: tree pruning end, 1 roots, 3572 extra nodes, 0 pruned nodes, max_depth=38
[01:29:01] src/tree/updater_prune.cc:74: tree pruning end, 1 roots, 3622 extra nodes, 0 pruned nodes, max_depth=39
[01:29:24] src/tree/updater_prune.cc:74: tree pruning end, 1 roots, 1828 extra nodes, 0 pruned nodes, max_depth=27
[01:29:54] src/tree/updater_prune.cc:74: tree pruning end, 1 roots, 2008 extra nodes, 0 pruned nodes, max_depth=47
[01:30:17] src/tree/updater_prune.cc:74: tree pruning end, 1 roots, 1654 extra nodes, 0 pruned nodes, max_depth=28
[01:30:54] src/tree/updater_prune.cc:74: tree pruning end, 1 roots, 3654 extra nodes, 0 pruned nodes, max_depth=29
[01:31:22] src/tree/updater_prune.cc:74: tree pruning end, 1 roots, 2084 extra nodes, 0 pruned nodes, max_depth=27
[01:32:02] src/tree/updater_prune.cc:74: tree pruning end, 1 roots, 3164 extra nodes, 0 pruned nodes, max_depth=46
[01:32:44] src/tree/updater_prune.cc:74: tree pruning end, 1 roots, 4436 extra nodes, 0 pruned nodes, max_depth=32
[01:33:29] src/tree/updater_prune.cc:74: tree pruning end, 1 roots, 4156 extra nodes, 0 pruned nodes, max_depth=48
[01:34:07] src/tree/updater_prune.cc:74: tree pruning end, 1 roots, 3550 extra nodes, 0 pruned nodes, max_depth=34
[01:34:46] src/tree/updater_prune.cc:74: tree pruning end, 1 roots, 3844 extra nodes, 0 pruned nodes, max_depth=45
[01:35:08] src/tree/updater_prune.cc:74: tree pruning end, 1 roots, 1748 extra nodes, 0 pruned nodes, max_depth=23
[01:35:38] src/tree/updater_prune.cc:74: tree pruning end, 1 roots, 1958 extra nodes, 0 pruned nodes, max_depth=46
[01:35:57] src/tree/updater_prune.cc:74: tree pruning end, 1 roots, 1562 extra nodes, 0 pruned nodes, max_depth=26
[01:36:37] src/tree/updater_prune.cc:74: tree pruning end, 1 roots, 3680 extra nodes, 0 pruned nodes, max_depth=34
[01:37:05] src/tree/updater_prune.cc:74: tree pruning end, 1 roots, 2268 extra nodes, 0 pruned nodes, max_depth=28
[01:37:44] src/tree/updater_prune.cc:74: tree pruning end, 1 roots, 3104 extra nodes, 0 pruned nodes, max_depth=41
[01:38:24] src/tree/updater_prune.cc:74: tree pruning end, 1 roots, 4252 extra nodes, 0 pruned nodes, max_depth=31
[01:39:14] src/tree/updater_prune.cc:74: tree pruning end, 1 roots, 4168 extra nodes, 0 pruned nodes, max_depth=48
[01:39:51] src/tree/updater_prune.cc:74: tree pruning end, 1 roots, 3368 extra nodes, 0 pruned nodes, max_depth=31
[01:40:30] src/tree/updater_prune.cc:74: tree pruning end, 1 roots, 3528 extra nodes, 0 pruned nodes, max_depth=39
[01:40:50] src/tree/updater_prune.cc:74: tree pruning end, 1 roots, 1676 extra nodes, 0 pruned nodes, max_depth=21
[01:41:24] src/tree/updater_prune.cc:74: tree pruning end, 1 roots, 1924 extra nodes, 0 pruned nodes, max_depth=50
[01:41:47] src/tree/updater_prune.cc:74: tree pruning end, 1 roots, 1674 extra nodes, 0 pruned nodes, max_depth=24
[01:42:24] src/tree/updater_prune.cc:74: tree pruning end, 1 roots, 3462 extra nodes, 0 pruned nodes, max_depth=27
[01:42:52] src/tree/updater_prune.cc:74: tree pruning end, 1 roots, 2174 extra nodes, 0 pruned nodes, max_depth=26
[01:43:32] src/tree/updater_prune.cc:74: tree pruning end, 1 roots, 3012 extra nodes, 0 pruned nodes, max_depth=46
[01:44:13] src/tree/updater_prune.cc:74: tree pruning end, 1 roots, 4140 extra nodes, 0 pruned nodes, max_depth=36
[01:45:05] src/tree/updater_prune.cc:74: tree pruning end, 1 roots, 4046 extra nodes, 0 pruned nodes, max_depth=50
[01:45:39] src/tree/updater_prune.cc:74: tree pruning end, 1 roots, 3234 extra nodes, 0 pruned nodes, max_depth=38
[01:46:18] src/tree/updater_prune.cc:74: tree pruning end, 1 roots, 3326 extra nodes, 0 pruned nodes, max_depth=41
[01:46:40] src/tree/updater_prune.cc:74: tree pruning end, 1 roots, 1690 extra nodes, 0 pruned nodes, max_depth=23
[01:47:12] src/tree/updater_prune.cc:74: tree pruning end, 1 roots, 1874 extra nodes, 0 pruned nodes, max_depth=41
[01:47:36] src/tree/updater_prune.cc:74: tree pruning end, 1 roots, 1640 extra nodes, 0 pruned nodes, max_depth=30
[01:48:16] src/tree/updater_prune.cc:74: tree pruning end, 1 roots, 3400 extra nodes, 0 pruned nodes, max_depth=29
[01:48:44] src/tree/updater_prune.cc:74: tree pruning end, 1 roots, 2134 extra nodes, 0 pruned nodes, max_depth=29
[01:49:25] src/tree/updater_prune.cc:74: tree pruning end, 1 roots, 2944 extra nodes, 0 pruned nodes, max_depth=37
[01:50:08] src/tree/updater_prune.cc:74: tree pruning end, 1 roots, 3962 extra nodes, 0 pruned nodes, max_depth=36
[01:50:57] src/tree/updater_prune.cc:74: tree pruning end, 1 roots, 3878 extra nodes, 0 pruned nodes, max_depth=43
[01:51:27] src/tree/updater_prune.cc:74: tree pruning end, 1 roots, 3080 extra nodes, 0 pruned nodes, max_depth=26
[01:52:05] src/tree/updater_prune.cc:74: tree pruning end, 1 roots, 3186 extra nodes, 0 pruned nodes, max_depth=35
[01:52:26] src/tree/updater_prune.cc:74: tree pruning end, 1 roots, 1592 extra nodes, 0 pruned nodes, max_depth=21
[01:52:57] src/tree/updater_prune.cc:74: tree pruning end, 1 roots, 1752 extra nodes, 0 pruned nodes, max_depth=48
[01:53:20] src/tree/updater_prune.cc:74: tree pruning end, 1 roots, 1530 extra nodes, 0 pruned nodes, max_depth=22
